Chemical,AffyID,AceViewID,Category,isDEG_qPCR,FC_qPCR,Pvalue_qPCR,FC_microarray,Pvalue_microarray,lowExpr_microarray,FC_RNA-seq,Pvalue_RNA-seq,lowExpr_RNA-seq
NIT,1369122_at,Bax,Both,yes,1.98±0.07,8.90E-06,1.8,2.21E-04,,1.93,3.68E-03,
MIC,1369122_at,Bax,Both,yes,2.58±0.22,7.50E-08,2.05,4.81E-05,,3.1,8.36E-05,
FLU,1369122_at,Bax,Both,yes,2.62±0.24,3.50E-08,1.62,9.84E-03,,2.36,1.14E-03,
AFL,1369122_at,Bax,Both,yes,3.4±0.01,6.70E-07,3.06,3.72E-06,,3.45,1.87E-04,
MIC,1378550_at,Cblc,Both,yes,2.25±0.14,4.10E-09,-1.76¤,4.67E-04,yes,2.92,8.55E-04,
AFL,1387391_at,Cdkn1a,Both,yes,23.5±0.32,7.70E-09,6.7,1.52E-06,,18.42,2.71E-06,
NIT,1387391_at,Cdkn1a,Both,yes,8.07±0.23,3.80E-05,5.31,5.45E-06,,8.42,6.97E-04,
NIT,1387709_at,Figf,Both,yes,10.27±0.98,5.30E-06,1.85,9.98E-03,yes,9.93,1.69E-03,
NIT,1369468_at,Fzd4,Both,yes,-2.07±0.25,3.00E-05,-1.69,1.12E-03,,-1.81,7.75E-03,
GEM,1369468_at,Fzd4,Both,yes,-2.65±0.45,1.50E-04,-2.21,7.36E-05,,-2.47,9.15E-04,
MIC,1369468_at,Fzd4,Both,yes,-2.97±0.16,4.00E-06,-2.43,2.05E-04,,-2.56,6.80E-04,
IFO,1369468_at,Fzd4,Both,yes,-2.99±0.01,0,-2.41,1.21E-04,,-2.74,6.46E-03,
CFA,1369468_at,Fzd4,Both,yes,-3.5±0.32,6.06E-06,-2.2,2.88E-05,,-2.86,6.22E-04,
CFA,1369218_at,Met,Both,yes,-1.83±0.18,3.94E-06,-2.08,1.87E-03,,-1.5,2.54E-02,
AFL,1369218_at,Met,Both,yes,-1.9±0.13,2.30E-04,-2.93,1.76E-05,,-2.44,4.25E-03,
MIC,1369218_at,Met,Both,yes,-2.56±0.49,2.20E-05,-3.18,1.31E-04,,-2.37,7.44E-04,
AFL,1368308_at,Myc,Both,yes,2.1±0.94,3.20E-02,2.23,1.17E-02,,2.38,3.06E-02,
FLU,1368308_at,Myc,Both,yes,2.24±0.12,5.80E-05,2.12,8.50E-03,,2.41,3.63E-03,
GEM,1368308_at,Myc,Both,yes,-3.81±0.08,7.60E-08,-3.4,1.14E-04,,-2.93,9.85E-04,
FLU,1391559_at,Tlcd1,Both,yes,3.81±0.12,1.70E-07,1.53,1.55E-02,,3.84,5.53E-05,
GEM,1391559_at,Tlcd1,Both,yes,7.37±0.68,2.00E-06,3.02,2.81E-04,,9.17,1.26E-05,
IFO,1369248_a_at,Xiap,Both,,-1.37±0.07,7.30E-02,-2.24,4.41E-04,,-1.97,4.80E-02,
FLU,1369248_a_at,Xiap,Both,yes,-1.68±0.14,5.60E-06,-2.57,2.62E-03,,-2,7.79E-04,
CFA,1369248_a_at,Xiap,Both,yes,-2.1±0.25,4.14E-07,-3.07,4.83E-06,,-2.45,6.46E-03,
ROS,1369248_a_at,Xiap,Both,yes,-2.51±0.13,1.50E-10,-4.31,3.60E-07,,-2.82,1.30E-04,
MIC,1369180_at,Bcl2l1,AFX,,1.03±0.06,3.90E-01,-1.62,8.75E-04,yes,1.25,1.26E-01,
IFO,1387391_at,Cdkn1a,AFX,,-1.79±0.14,1.38E-01,-1.91,4.69E-03,yes,-1.26,5.78E-01,
FLU,1387813_at,Erbb2,AFX,,0.88±0.17,3.00E-02,-1.59,4.00E-03,yes,-1.81,8.06E-02,yes
ROS,1369218_at,Met,AFX,yes,-1.74±0.08,1.20E-06,-2.19,5.63E-03,,-1.45,2.12E-02,
MIC,1388174_at,Wnt2b,AFX,,-1.06±1.24,8.70E-01,-2.07,1.35E-03,yes,NA,NA,yes
AFL,1369248_a_at,Xiap,AFX,,1.1±0.07,5.96E-01,-1.85,4.77E-03,,-1.75,1.03E-01,
GEM,1369248_a_at,Xiap,AFX,,-1.44±0.41,5.60E-03,-1.77,3.64E-02,,-1.4,3.39E-02,
AFL,1369180_at,Bcl2l1,NGS,yes,1.9±0.03,2.00E-04,1.1,5.40E-01,yes,1.86,2.52E-02,
NIT,1371027_at,Cblb,NGS,,1.37±0.2,7.60E-04,1.45,6.65E-02,,1.53,9.04E-03,
ROS,1387391_at,Cdkn1a,NGS,yes,-4.54±1.33,5.10E-03,-1.89,9.65E-02,,-5.17,3.64E-02,
AFL,1387813_at,Erbb2,NGS,yes,1.6±0.2,3.40E-05,1.07,6.99E-01,yes,2.08,1.09E-02,yes
AFL,1369600_at,Fgf11,NGS,yes,-1.7±0.1,5.30E-04,1.12,4.84E-01,yes,-1.89,2.45E-02,yes
CFA,1369600_at,Fgf11,NGS,yes,-2.89±0.33,4.87E-05,-1.09,4.54E-01,yes,-1.71,4.09E-02,yes
ROS,1369600_at,Fgf11,NGS,yes,-6.1±0.57,3.20E-06,-1.12,3.10E-01,yes,-4.1,6.05E-05,yes
AFL,1387709_at,Figf,NGS,yes,1.8±0.3,1.90E-04,1.12,4.62E-01,yes,2.81,1.91E-03,yes
MIC,1387709_at,Figf,NGS,yes,4.42±0.49,3.50E-07,-1.04,7.84E-01,yes,4.86,5.27E-05,yes
AFL,1369468_at,Fzd4,NGS,yes,-1.8±0.08,1.50E-02,-1.56,1.36E-01,,-2.34,3.76E-02,
NIT,1370458_at,Hdgfrp3,NGS,,-1.27±0.34,8.60E-09,1.43,1.62E-02,yes,4.24,1.18E-04,yes
AFL,1370458_at,Hdgfrp3,NGS,yes,4.3±0.3,6.90E-08,1.32,9.44E-02,yes,4.92,6.85E-05,yes
AFL,1377428_at,Lama5,NGS,yes,17.5±0.6,6.30E-07,1.09,5.76E-01,yes,11.05,1.42E-05,yes
CFA,1391559_at,Tlcd1,NGS,yes,2.08±0.49,1.31E-03,1.21,2.27E-01,yes,2.82,3.71E-04,
ROS,1391559_at,Tlcd1,NGS,yes,2.15±0.64,2.80E-03,1.27,2.14E-01,yes,3.18,1.69E-03,
AFL,1371027_at,Cblb,None,,1.3±0.13,1.48E-01,1.42,1.59E-01,,1.1,7.64E-01,
AFL,1378550_at,Cblc,None,,1.3±0.5,1.35E-01,1.3,9.90E-02,yes,1.04,8.83E-01,yes
CFA,1387391_at,Cdkn1a,None,,1.26±0.32,4.10E-01,1.67,1.98E-01,,1.24,4.91E-01,
GEM,1387391_at,Cdkn1a,None,,-1.44±0.63,2.50E-01,-1.32,4.30E-01,,-2.21,1.14E-01,
IFO,1387813_at,Erbb2,None,,-1.18±0.21,2.12E-01,-1.1,6.78E-01,yes,1.62,1.23E-01,yes
NIT,1387813_at,Erbb2,None,yes,1.9±0.62,4.60E-03,-1.3,1.03E-01,yes,1.2,4.57E-01,yes
FLU,1369600_at,Fgf11,None,yes,-7.3±1.6,8.20E-04,-1.26,7.31E-02,yes,NA,NA,yes
AFL,1387640_at,Fgf15,None,,Undetermined,,1.16,3.47E-01,yes,NA,NA,yes
IFO,1387640_at,Fgf15,None,,Undetermined,,-1.2,4.16E-01,yes,NA,NA,yes
AFL,1369616_at,Fgf22,None,,Undetermined,,1.08,6.48E-01,yes,1.1,8.08E-01,yes
IFO,1387709_at,Figf,None,,1.32±0.04,4.10E-02,-1.22,3.84E-01,yes,1.58,2.26E-01,yes
ROS,1369468_at,Fzd4,None,yes,-1.64±0.05,2.20E-03,-1.19,1.72E-01,,-1.1,5.19E-01,
IFO,1370458_at,Hdgfrp3,None,,1.32±0.85,8.51E-01,-1.08,7.40E-01,yes,1.74,1.02E-01,yes
FLU,1370458_at,Hdgfrp3,None,yes,2.23±0.99,1.10E-02,1.04,7.36E-01,yes,2.13,1.10E-01,yes
MIC,1368308_at,Myc,None,,1.06±0.13,6.30E-01,1.25,3.40E-01,,1.25,3.10E-01,
ROS,1368308_at,Myc,None,,1.28±0.97,3.70E-01,1.28,5.07E-01,,1.75,2.04E-01,
AFL,1391559_at,Tlcd1,None,yes,-1.7±0.2,1.00E-04,-1.03,8.54E-01,yes,-1.67,7.56E-02,yes
AFL,1388174_at,Wnt2b,None,,-1.3±0.65,2.81E-01,1.26,1.53E-01,yes,NA,NA,yes
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
*Genes or probesets are determined as DEG if absolute Fold Change >1.5 and P-Value <0.05.,,,,,,,,,,,,
,,,,,,,,,,,,
 Positive Fold Change (FC) indicates up-regulation; negative FC indicates down-regulation.,,,,,,,,,,,,
,,,,,,,,,,,,
#Genes or probesets are considered as Òlowly expressedÓ if the average expression levels are below median expression of all genes (or probesets) for both treated samples and control samples.,,,,,,,,,,,,
,,,,,,,,,,,,
                    ¤The fold change direction was opposite to those of qPCR and RNA-seq.,,,,,,,,,,,,